,Unnamed: 0,EntityCommonStockSharesOutstanding-0,MarketCap,dividend,splits
121,2007-01-23,24208660000.0,74095784738.75522,0.0,0.0
122,2007-01-24,24208660000.0,74960399527.76431,0.0,0.0
123,2007-01-25,24208660000.0,74571317100.91591,0.0,0.0
124,2007-01-26,24208660000.0,73819125321.65527,0.0,0.0
125,,,,,
126,,,,,
127,2007-01-29,24208660000.0,74303303831.70605,0.0,0.0
128,2007-01-30,24208660000.0,73966098292.19818,0.0,0.0
129,2007-01-31,24208660000.0,74121734726.01413,0.0,0.0
130,2007-02-01,24208660000.0,73265789172.07242,0.0,0.0
131,2007-02-02,24208660000.0,73274435319.9625,0.0,0.0
132,,,,,
133,,,,,
134,2007-02-05,24208660000.0,72574103112.65945,0.0,0.0
135,2007-02-06,24208660000.0,72755666446.55704,0.0,0.0
136,2007-02-07,24208660000.0,74484867165.60364,0.0,0.0
137,2007-02-08,24208660000.0,74510794065.68527,0.0,0.0
138,2007-02-09,24208660000.0,71994834291.20064,0.0,0.0
139,,,,,
140,,,,,
141,2007-02-12,24208660000.0,73386835242.53369,0.0,0.0
142,2007-02-13,24208660000.0,73231198808.71773,0.0,0.0
143,2007-02-14,24208660000.0,73749961910.32886,0.0,0.0
144,2007-02-15,24208660000.0,73672135035.7294,0.0,0.0
145,2007-02-16,24208660000.0,73343598731.28891,0.0,0.0
146,,,,,
147,,,,,
148,,,,,
149,2007-02-20,24208660000.0,74268707696.55704,0.0,0.0
150,2007-02-21,24208660000.0,77121867238.75522,0.0,0.0
151,2007-02-22,24208660000.0,77389903595.14236,0.0,0.0
152,2007-02-23,24208660000.0,77009467316.18405,0.0,0.0
153,,,,,
154,,,,,
155,2007-02-26,24208660000.0,76525294577.92758,0.0,0.0
156,2007-02-27,24208660000.0,72565456964.76936,0.0,0.0
157,2007-02-28,24208660000.0,73153389249.50122,0.0,0.0
158,2007-03-01,24208660000.0,75271649308.21896,0.0,0.0
159,2007-03-02,24208660000.0,73845057993.53122,0.0,0.0
160,,,,,
161,,,,,
162,2007-03-05,24208660000.0,74631834364.35223,0.0,0.0
163,2007-03-06,24208660000.0,76248635160.82764,0.0,0.0
164,2007-03-07,24208660000.0,75842271981.78769,0.0,0.0
165,2007-03-08,24208660000.0,76084358350.91591,0.0,0.0
166,2007-03-09,24208660000.0,76058431450.83427,0.0,0.0
167,,,,,
168,,,,,
169,2007-03-12,24208660000.0,77701153375.597,0.0,0.0
170,2007-03-13,24208660000.0,76430204266.51955,0.0,0.0
171,2007-03-14,24208660000.0,77813559069.9625,0.0,0.0
172,2007-03-15,24208660000.0,77441786254.27722,0.0,0.0
173,2007-03-16,24208660000.0,77459067006.46878,0.0,0.0
174,,,,,
175,,,,,
176,2007-03-19,24208660000.0,78790544922.57118,0.0,0.0
177,2007-03-20,24208660000.0,79093154326.93005,0.0,0.0
178,2007-03-21,24208660000.0,81159531726.51291,0.0,0.0
179,2007-03-22,24208660000.0,81237341285.7294,0.0,0.0
180,2007-03-23,24208660000.0,80856922322.15405,0.0,0.0
181,,,,,
182,,,,,
183,2007-03-26,24208660000.0,82871422834.39636,0.0,0.0
184,2007-03-27,24208660000.0,82534246153.86009,0.0,0.0
185,2007-03-28,24208660000.0,80614835953.02582,0.0,0.0
186,2007-03-29,24208660000.0,81055772180.0375,0.0,0.0
187,2007-03-30,24208660000.0,80329513072.65282,0.0,0.0
188,,,,,
189,,,,,
190,2007-04-02,24208660000.0,80969328016.51955,0.0,0.0
191,2007-04-03,24208660000.0,81704227500.0,0.0,0.0
192,2007-04-04,24208660000.0,81505377642.11655,0.0,0.0
193,2007-04-05,24208660000.0,81859863933.81595,0.0,0.0
194,,,,,
195,,,,,
196,,,,,
197,2007-04-09,24208660000.0,80969328016.51955,0.0,0.0
198,2007-04-10,24208660000.0,81488068030.9534,0.0,0.0
199,2007-04-11,24208660000.0,80052859427.34718,0.0,0.0
200,2007-04-12,24208660000.0,79707013511.74355,0.0,0.0
201,2007-04-13,24208660000.0,78021049303.94173,0.0,0.0
202,,,,,
203,,,,,
204,2007-04-16,24208660000.0,79049917815.68527,0.0,0.0
205,2007-04-17,24208660000.0,78116162702.52704,0.0,0.0
206,2007-04-18,24208660000.0,78159376126.59454,0.0,0.0
207,2007-04-19,24208660000.0,78046999291.20064,0.0,0.0
208,2007-04-20,24208660000.0,78652218099.91837,0.0,0.0
209,,,,,
210,,,,,
211,2007-04-23,24208660000.0,80848281946.05827,0.0,0.0
212,2007-04-24,24208660000.0,80614835953.02582,0.0,0.0
213,2007-04-25,24208660000.0,82439126983.48045,0.0,0.0
214,2007-04-26,24208660000.0,85456569107.38467,0.0,0.0
215,2007-04-27,24208660000.0,86390324220.54291,0.0,0.0
216,,,,,
217,,,,,
218,2007-04-30,24208660000.0,86286587761.24478,0.0,0.0
219,2007-05-01,24208660000.0,86001264880.87177,0.0,0.0
220,2007-05-02,24208660000.0,86796687399.58286,0.0,0.0
221,2007-05-03,24208660000.0,86805333547.47296,0.0,0.0
222,2007-05-04,24208660000.0,87159819839.17236,0.0,0.0
223,,,,,
224,,,,,
225,2007-05-07,24208660000.0,89848725658.6361,0.0,0.0
226,2007-05-08,24208660000.0,90834351887.34056,0.0,0.0
227,2007-05-09,24208660000.0,92407916172.57118,0.0,0.0
228,2007-05-10,24208660000.0,92805615888.33807,0.0,0.0
229,2007-05-11,24208660000.0,94016047733.97922,0.0,0.0
230,,,,,
231,,,,,
232,2007-05-14,24208660000.0,94552103131.37054,0.0,0.0
233,2007-05-15,24208660000.0,92961252322.15404,0.0,0.0
234,2007-05-16,24208660000.0,92805615888.33807,0.0,0.0
