,CostsAndExpenses-0,CostsAndExpenses-1,CostsAndExpenses-2,CostsAndExpenses-3,CostsAndExpenses-4,DepreciationAndAmortization-0,DepreciationAndAmortization-1,DepreciationAndAmortization-2,DepreciationAndAmortization-3,DepreciationAndAmortization-4,GrossProfit-0,GrossProfit-1,GrossProfit-2,GrossProfit-3,GrossProfit-4,IncomeTaxesPaidNet-0,IncomeTaxesPaidNet-1,IncomeTaxesPaidNet-2,IncomeTaxesPaidNet-3,IncomeTaxesPaidNet-4,NetIncomeLoss-0,NetIncomeLoss-1,NetIncomeLoss-2,NetIncomeLoss-3,NetIncomeLoss-4,OperatingIncomeLoss-0,OperatingIncomeLoss-1,OperatingIncomeLoss-2,OperatingIncomeLoss-3,OperatingIncomeLoss-4,Revenues-0,Revenues-1,Revenues-2,Revenues-3,Revenues-4,FreeCashFlow-0,FreeCashFlow-1,FreeCashFlow-2,FreeCashFlow-3,FreeCashFlow-4
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,31045000000.0,37302000000.0,25022000000.0,23450000000.0,23802000000.0,1453994490.3581266,1453994490.3581266,639459459.4594595,639459459.4594595,639459459.4594595,16349000000.0,21060000000.0,14401000000.0,14994000000.0,18564000000.0,2368000000.0,1890000000.0,1781000000.0,1066000000.0,3361000000.0,9547000000.0,13078000000.0,8223000000.0,8824000000.0,11622000000.0,12558000000.0,17210000000.0,10944000000.0,11573000000.0,15384000000.0,43603000000.0,54512000000.0,35966000000.0,35023000000.0,39186000000.0,10496000000.0,21109000000.0,5675000000.0,8133000000.0,12520000000.0
2013-06-30,26122000000.0,31045000000.0,37302000000.0,25022000000.0,23450000000.0,1453994490.3581266,1453994490.3581266,1453994490.3581266,639459459.4594595,639459459.4594595,13024000000.0,16349000000.0,21060000000.0,14401000000.0,14994000000.0,2930000000.0,2368000000.0,1890000000.0,1781000000.0,1066000000.0,6900000000.0,9547000000.0,13078000000.0,8223000000.0,8824000000.0,9201000000.0,12558000000.0,17210000000.0,10944000000.0,11573000000.0,35323000000.0,43603000000.0,54512000000.0,35966000000.0,35023000000.0,5943000000.0,10496000000.0,21109000000.0,5675000000.0,8133000000.0
2013-09-30,27442000000.0,26122000000.0,31045000000.0,37302000000.0,25022000000.0,1453994490.3581266,1453994490.3581266,1453994490.3581266,1453994490.3581266,639459459.4594595,13871000000.0,13024000000.0,16349000000.0,21060000000.0,14401000000.0,1940000000.0,2930000000.0,2368000000.0,1890000000.0,1781000000.0,7512000000.0,6900000000.0,9547000000.0,13078000000.0,8223000000.0,10030000000.0,9201000000.0,12558000000.0,17210000000.0,10944000000.0,37472000000.0,35323000000.0,43603000000.0,54512000000.0,35966000000.0,7953000000.0,5943000000.0,10496000000.0,21109000000.0,5675000000.0
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,32053000000.0,40131000000.0,27442000000.0,26122000000.0,31045000000.0,1729752066.1157024,1729752066.1157024,1453994490.3581266,1453994490.3581266,1453994490.3581266,17947000000.0,21846000000.0,13871000000.0,13024000000.0,16349000000.0,1982000000.0,3387000000.0,1940000000.0,2930000000.0,2368000000.0,10223000000.0,13072000000.0,7512000000.0,6900000000.0,9547000000.0,13593000000.0,17463000000.0,10030000000.0,9201000000.0,12558000000.0,45646000000.0,57594000000.0,37472000000.0,35323000000.0,43603000000.0,12156000000.0,20685000000.0,7953000000.0,5943000000.0,16056254143.646412
2014-06-30,27150000000.0,32053000000.0,40131000000.0,27442000000.0,26122000000.0,1729752066.1157024,1729752066.1157024,1729752066.1157024,1453994490.3581266,1453994490.3581266,14735000000.0,17947000000.0,21846000000.0,13871000000.0,13024000000.0,2644000000.0,1982000000.0,3387000000.0,1940000000.0,2930000000.0,7748000000.0,10223000000.0,13072000000.0,7512000000.0,6900000000.0,10282000000.0,13593000000.0,17463000000.0,10030000000.0,9201000000.0,37432000000.0,45646000000.0,57594000000.0,37472000000.0,35323000000.0,7877000000.0,12156000000.0,20685000000.0,7953000000.0,5943000000.0
2014-09-30,30958000000.0,27150000000.0,32053000000.0,40131000000.0,27442000000.0,1729752066.1157024,1729752066.1157024,1729752066.1157024,1729752066.1157024,1453994490.3581266,16009000000.0,14735000000.0,17947000000.0,21846000000.0,13871000000.0,2013000000.0,2644000000.0,1982000000.0,3387000000.0,1940000000.0,8467000000.0,7748000000.0,10223000000.0,13072000000.0,7512000000.0,11165000000.0,10282000000.0,13593000000.0,17463000000.0,10030000000.0,42123000000.0,37432000000.0,45646000000.0,57594000000.0,37472000000.0,9424000000.0,7877000000.0,12156000000.0,20685000000.0,7861126721.763085
2014-12-31,50353000000.0,30958000000.0,27150000000.0,32053000000.0,40131000000.0,2306336088.1542697,1729752066.1157024,1729752066.1157024,1729752066.1157024,1729752066.1157024,29741000000.0,16009000000.0,14735000000.0,17947000000.0,21846000000.0,3869000000.0,2013000000.0,2644000000.0,1982000000.0,3387000000.0,18024000000.0,8467000000.0,7748000000.0,10223000000.0,13072000000.0,24246000000.0,11165000000.0,10282000000.0,13593000000.0,17463000000.0,74599000000.0,42123000000.0,37432000000.0,45646000000.0,57594000000.0,30505000000.0,9424000000.0,7877000000.0,12156000000.0,20685000000.0
2015-03-31,39732000000.0,50353000000.0,30958000000.0,27150000000.0,32053000000.0,2306336088.1542697,2306336088.1542697,1729752066.1157024,1729752066.1157024,1729752066.1157024,23656000000.0,29741000000.0,16009000000.0,14735000000.0,17947000000.0,3189000000.0,3869000000.0,2013000000.0,2644000000.0,1982000000.0,13569000000.0,18024000000.0,8467000000.0,7748000000.0,10223000000.0,18278000000.0,24246000000.0,11165000000.0,10282000000.0,13593000000.0,58010000000.0,74599000000.0,42123000000.0,37432000000.0,45646000000.0,16712000000.0,30505000000.0,9424000000.0,7877000000.0,12156000000.0
